#sample: Merged
# data
# dataset2.dat
# dataset1.dat
# dataset3.dat
# q  I  sigma
3.963506e-02 1.040401e+00 8.597853e-03
4.008301e-02 1.003397e+00 1.888478e-03
4.067576e-02 1.026648e+00 6.775207e-03
4.144017e-02 9.938848e-01 1.978456e-03
4.177307e-02 1.011091e+00 6.660940e-03
4.220292e-02 1.028844e+00 8.111562e-03
4.287512e-02 9.837671e-01 1.712127e-03
4.323517e-02 1.019040e+00 6.619492e-03
4.378343e-02 1.012034e+00 6.563880e-03
4.437114e-02 9.777754e-01 1.611604e-03
4.506018e-02 1.001433e+00 6.423204e-03
4.561182e-02 9.864274e-01 6.402006e-03
4.590579e-02 9.691493e-01 1.347106e-03
4.674159e-02 9.860955e-01 4.728910e-03
4.745724e-02 9.570474e-01 1.402641e-03
4.787594e-02 9.745957e-01 4.429005e-03
4.860591e-02 9.882001e-01 3.736795e-03
4.912470e-02 9.471610e-01 1.263545e-03
4.985069e-02 9.651659e-01 4.783874e-03
5.038819e-02 9.553419e-01 4.761637e-03
5.081940e-02 9.362185e-01 1.408957e-03
5.171073e-02 9.502380e-01 3.623859e-03
5.254300e-02 9.258092e-01 1.187644e-03
5.301067e-02 9.466417e-01 4.325974e-03
5.376744e-02 9.441526e-01 3.550021e-03
5.437405e-02 9.144380e-01 1.538699e-03
5.504793e-02 9.295715e-01 4.262258e-03
5.581919e-02 9.247731e-01 3.464918e-03
5.626792e-02 8.997352e-01 1.394385e-03
5.713568e-02 9.150898e-01 4.455635e-03
5.813376e-02 8.850412e-01 1.189859e-03
5.864724e-02 8.995047e-01 4.419379e-03
5.941019e-02 8.958850e-01 3.203229e-03
6.017514e-02 8.698627e-01 1.200776e-03
6.097385e-02 8.874929e-01 3.295474e-03
6.169665e-02 8.801635e-01 4.003946e-03
6.227547e-02 8.530514e-01 1.029082e-03
6.330240e-02 8.595211e-01 3.976056e-03
6.435595e-02 8.388452e-01 1.066923e-03
6.485922e-02 8.477240e-01 4.149899e-03
6.562657e-02 8.439555e-01 3.035837e-03
6.658961e-02 8.226304e-01 1.171566e-03
6.720436e-02 8.261320e-01 3.018167e-03
6.820265e-02 8.303947e-01 3.037135e-03
6.890836e-02 8.033226e-01 1.087265e-03
6.981978e-02 8.040916e-01 2.977673e-03
7.084202e-02 8.025500e-01 3.003483e-03
7.134739e-02 7.839779e-01 1.063760e-03
7.263021e-02 7.742058e-01 3.869298e-03
7.369426e-02 7.662385e-01 9.810100e-04
7.444412e-02 7.711933e-01 2.768355e-03
7.546989e-02 7.574783e-01 2.818913e-03
7.629694e-02 7.439039e-01 1.029457e-03
7.748909e-02 7.489631e-01 2.703162e-03
7.830956e-02 7.265521e-01 3.571435e-03
7.892507e-02 7.229571e-01 9.166273e-04
8.015175e-02 7.189063e-01 2.703656e-03
8.158024e-02 7.021111e-01 7.218808e-04
8.224140e-02 6.957098e-01 2.583974e-03
8.325580e-02 6.893705e-01 2.606633e-03
8.441162e-02 6.771805e-01 7.823933e-04
8.534429e-02 6.750798e-01 2.497537e-03
8.659589e-02 6.638949e-01 2.145065e-03
8.737407e-02 6.515221e-01 7.138553e-04
8.888667e-02 6.433344e-01 2.653196e-03
9.029258e-02 6.284557e-01 8.625421e-04
9.100537e-02 6.122217e-01 2.506327e-03
9.228041e-02 6.131555e-01 2.234541e-03
9.346091e-02 6.048016e-01 8.051959e-04
9.460175e-02 5.924617e-01 2.523132e-03
9.566245e-02 5.812510e-01 2.473365e-03
9.669739e-02 5.761187e-01 6.860484e-04
9.820377e-02 5.585152e-01 2.320731e-03
9.991440e-02 5.529391e-01 8.315482e-04
1.007850e-01 5.380735e-01 2.260679e-03
1.020134e-01 5.334162e-01 8.244008e-04
1.033502e-01 5.250616e-01 2.232235e-03
1.040822e-01 5.195828e-01 6.816557e-04
1.059903e-01 5.041011e-01 8.398403e-04
